Name,Website,Description
SportsEngine Sports Management Software | SportsEngine,https://silbo.ai/,SportsEngine is part of NBC Sports Next. We're your dedicated team with a global reach on a mission to improve and promote youth sports. We enhance youth sports ...
Official Carelon Healthcare Services | Carelon,https://anthem.ai/,Carelon is a healthcare services company dedicated to delivering whole-person care with connected healthcare solutions for better outcomes and experiences.
Anakin.ai - One-Stop AI App Platform,https://anakin.ai/,"Our no-code AI app builder lets you create unique, standalone AI applications that automate tasks, generate content, answer questions and more."
AMD ׀ together we advance_AI,https://nod.ai/,AMD is pushing the limits of innovation to tackle some of the world's toughest challenges with our partners.
"Poly.AI Chatbot: Deeper, Discreet Conversations with Next-Gen AI ...",https://polyai.ai/,"Join Poly.AI for bold, free, and private chats with AI characters! Experience passionate and heart-pounding AI roleplay! Meet your AI companions driven by ..."
AI-Powered Low-Code Tools | Microsoft Power Platform,https://powerplatform.ai/,"Innovate with low-code tools using Microsoft Power Platform—Power BI, Power Apps, Power Automate, and Power Pages."
Remaker AI: Revolutionize Your Image Editing with AI-Powered Tools,https://remaker.ai/,"Welcome to Remaker AI, the ultimate destination for seamless, AI-driven image editing. Whether you're looking to remove watermarks or eliminate backgrounds, ..."
Magic Studio : Make beautiful images with AI,https://removewatermark.ai/,"With Magic Studio anybody can use AI to create images, add & remove objects, backgrounds and more. Make beautiful images for product pages, ..."
Clarity AI: AI Sustainability Platform & Solutions,https://clarity.ai/,"Invest sustainably, shop sustainably, and report or benchmark for sustainability with easy-to-use, AI-powered technology."
Best AI Video Generator | AI STUDIOS,https://moneybrain.ai/,Create AI-generated videos quickly using simple text. You can make any idea into video with Deepbrain AI's Online AI video generation tool.
Caktus AI | Homework Helper,https://caktus.ai/,"GET AHEAD WITH CAKTUS. Caktus AI is a platform built to get your work done. Trained with over 260 million research papers in almost every language, Caktus has ..."
Acortar.link URL gratis ⊷ acortador de link URLs seguro rápido y ...,https://acortar.ai/,"El acortador de dirección de Internet acortar.link de forma facil y rapida, con estadisticas predomina porque rastrea cuántos ""clics humanos"" reciben sus links."
"Figma AI: Your Creativity, unblocked with Figma AI",https://tricycle.ai/,"Generate, sort, summarize. FigJam AI helps you instantly visualize complex ideas into simple diagrams, sort feedback, and automate tedious tasks. The power to ..."
Yoodli | Free Communication Coach,https://yoodli.ai/,Improve your confidence with personalized communication coaching from Yoodli. Get feedback on your speaking skills without the pressure of an audience.
"Animaker, Make Animated Videos with AI for Free",http://animaker.ai/,"youtube-logo · IOSApp. Animaker. Videos, Done Right! Copyright © 2024 Animaker Inc, All rights reserved. Open Animaker in. animaker-footer-logo Animaker App."
TensorPix - Enhance Video & Image Quality Online,https://tensorpix.ai/,Enhance and upscale your videos & images online using AI in less than 3 minutes. Try for Free. No installation needed.
Live 1:1 Public Speaking & Creative Writing Classes | PlanetSpark,https://planetspark.ai/,PlanetSpark platform leverages powerful technology to provide live online classes to K8 learners on Public Speaking and Creative Writing skills.
Creator AI | Personalized AI Portrait | AI Image & Video - APOB,https://apob.ai/,"Create your AI Portrait. Supercharge your AI image and video content creation with unmatched quality, speed, and consistency. Create for Free. No credit card ..."
Adblock Plus | The world's #1 free ad blocker,https://adblock.ai/,"Adblock Plus, the most popular ad blocker on Firefox, Chrome, Safari, Android and iOS. Block pop-ups and annoying ads on websites like Facebook and YouTube."
GMOインターネットグループ株式会社,http://gmo.ai/,GMOインターネットグループは、インターネットインフラ事業、インターネット広告・メディア事業、インターネット金融事業、暗号資産（仮想通貨）事業を展開し、日本の ...
Twibbonize | Show your Supports!,https://bebenban.ai/,Turn your passion into action; create custom images that show what you stand for and invite friends to join you.
Unsloth AI | Open Source Fine-Tuning for LLMs,https://unsloth.ai/,"Train your own ChatGPT in 24 hrs instead of 30 days. 30x faster than FA2 + 30% accuracy. 90% less memory usage than FA2. NVIDIA, AMD & Intel GPU support."
C3 AI: Leading Enterprise AI Software Provider​,https://c3.ai/,"C3 AI provides over 40 turnkey Enterprise AI applications that meet the business-critical needs of global enterprises in manufacturing, financial services, ..."
Jenni AI,https://jenni.ai/,"Jenni is your AI assistant for all things in your academic journey. We specialise in developing AI that helps you make your writing more efficient, ..."
Eightfold Talent Intelligence - AI platform for all talent,https://eightfold.ai/,Our AI platform for all talent brings to light everything you need to hire and develop people to their highest potential.
Abridge: Generative AI for Clinical Conversations,http://abridge.ai/,"Discover how Abridge transforms documentation for clinical conversations powered by generative AI, enhancing healthcare understanding and improving patient ..."
Dify.AI · The Innovation Engine for Generative AI Applications,https://dify.ai/,The next-gen development platform - Easily build and operate generative AI applications. Create Assistants API and GPTs based on any LLMs.
Microsoft AI: Artificial Intelligence Solutions,http://microsoft.ai/,"Microsoft AI experiences are designed to put knowledge and expertise at your fingertips and help you take action, empowering businesses to meet any challenge ..."
Outlier,https://outlier.ai/,Refine the Next Generation of AI with Your Expertise.
Free AI Image Generator – Text To Image Online | Picsart,https://gen.ai/,"Generate images instantly with Picsart's free AI Image Generator. Add a text prompt, select the style, and create images instantly by text-to-image AI."
"Microsoft 365 Products, Apps, and Services | Microsoft 365",https://office.ai/,Get Microsoft 365 for home or for business or try it for free. Microsoft 365 gives you access to apps and cloud productivity services from virtually ...
US Home | Daily Mail Online,https://dailym.ai/,"MailOnline - get the latest breaking news, celebrity photos, viral videos, science & tech news, and top stories from MailOnline and the Daily Mail ..."
Kittl | Intuitive Design Platform for Creators,https://kittl.ai/,"Kittl is the design platform built for creators of all skill levels. Discover powerful tools to design, collaborate, and produce professional-quality work ..."
AISEO - Your AI writer for SEO.,https://aiseo.ai/,"Discover AISEO, the ultimate AI writer for SEO. Effortlessly identify SEO gaps, conduct keyword research, generate optimized content, and track rankings all ..."
Polycam - LiDAR & 3D Scanner for iPhone & Android,https://polycam.ai/,"Capture reality with Polycam's LiDAR scanner & photogrammetry. Make 3D scans and download 3D models. Available on iPhone, iPad, Android and Web."
"Hotpot.ai: AI image generator, AI headshots, and other AI tools to ...",https://hotpot.ai/,"Hotpot helps you create amazing images, graphics, and writing with AI. Visualize ideas with AI Image Generator, reimagine yourself with AI Headshots, ..."
"Undetectable AI: AI Detector, AI Checker, & AI Humanizer",https://undetectable.ai/,"Undetectable.ai is an essential rewriting tool to detect and humanize your AI text from ChatGPT, Jasper, Copy.AI and similar AI tools into completely human- ..."
Face Swapper - Free Face Swap And Reface Online,https://faceswapper.ai/,Powerful online tool to seamlessly swap one face with another. The best face swapping application available.
Fliki - Turn text into videos with AI voices,https://fliki.ai/,"Transform your ideas into stunning videos with our AI video generator. Easy to use Text to Video editor featuring lifelike voiceovers, dynamic AI video clips."
音声会話型おしゃべりAIアプリ Cotomo(コトモ）,https://cotomo.ai/,Cotomo(コトモ)は毎日のおしゃべりから、あなたのことを覚えてより身近な話し相手になってくれる音声会話型おしゃべりAIアプリです。
"Designs AI - Free Online Logo, Image, AI Chat Videos & Voice ...",https://designs.ai/,"Designs AI is a comprehensive generative AI suite offering tools like AI Chat, AI Image Generator, AI Video Generator, Design Maker, Logo Maker, AI Text to ..."
PDF.ai | Chat with your PDF documents,https://pdf.ai/,"We built the ultimate ChatPDF app that allows you to chat with any PDF: ask questions, get summaries, find anything you need!"
ElevenLabs: Free Text to Speech & AI Voice Generator,http://11.ai/,Create the most realistic speech with our AI audio tools in 1000s of voices and 32 languages. Easy to use API's and SDK's.
AI at Meta,http://facebook.ai/,"Built openly and intelligently with Llama 3.2, our newest experiences make AI more engaging for anyone to use. From making your own AIs to having Meta AI ..."
Jurídico AI: Inteligência Artificial para Advogados,https://juridico.ai/,Como funciona a Jurídico AI? · Economize tempo com a plataforma de Inteligência Artificial para advogados · Redação de peças processuais de alta qualidade.
Julius AI | Your AI Data Analyst,https://julius.ai/,"Julius is a powerful AI data analyst that helps you analyze and visualize your data. Chat with your data, create graphs, build forecasting models, and more."
"Carrera Acelera Veículos | Carros Novos, Seminovos e Usados ...",https://acelera.ai/,"Compre Carros Novos, Seminovos e Usados na Carrera Acelera Veículos, com mais 15 anos de tradição e 10 concessionárias de alta qualidade."
Remini - AI Photo Enhancer,https://remini.ai/,The only photo and video enhancer you'll ever need. Transformative technology gives your low-quality visuals a stunning HD upgrade.
Layla AI: Free Travel Planner 2024 | Trusted By Millions,https://layla.ai/,"Smartest trip planner AI for ultimate travel. Discover where to go, plan customized itinerary, book hotels & flights. Best road trips with Roam Around."
Powerdrill - Swift Insights from Knowledge and Data,https://powerdrill.ai/,"Powerdrill is an AI service centered around personal and enterprise datasets, designed to unlock the full potential of your data."
AI Art Generator: Free AI Image Generator & Editor | OpenArt,https://openart.ai/,"Discover OpenArt, your ultimate AI art generator. Explore, create, and iterate with our intuitive AI drawing tools and editing suite."
"판례검색, 빅케이스 하나로 끝",https://bigcase.ai/,"빅케이스의 검색 도구를 활용하여 필요한 판례를 빠르고 정확하게 찾아보세요. · AI가 찾아주는 쟁점 키워드별 판례 · 더욱 밀접한 검색을 위한 상세필터 · 서면, 소장, ..."
"FairMoney - Digital bank, instant loan app",https://fairmoney.ai/,"Bank Account. FairMoney offers you high savings interests, discounts on airtime/data, no charges on bills, and much more! Learn More."
"Twin Peaks Restaurants: Scratch American Food, Draft Beer & Live ...",https://yawye.ai/,"Twin Peaks is your local sports lodge. Come in for made-from-scratch food, signature 29° draft beers, and all the scenic views. Find one near you!"
KIMCHE - El Libro de Clases Digital más Amigable y Seguro,http://kimche.ai/,"El Libro Digital más fácil de usar. Simple, bonito y fácil de usar con un diseño pensado en docentes. Remplaza las fichas de estudiantes, registro de matrícula, ..."
character.ai | Personalized AI for every moment of your day,https://character.ai/,"Chat with millions of AI Characters anytime, anywhere. Super-intelligent chat bots that hear you, understand you, and remember you. Free to use with no ads."
Gab AI | An Uncensored and Unfiltered AI Platform,https://gab.ai/,Gab AI | An Uncensored and Unfiltered AI Platform | Gab AI is an uncensored and unbiased AI platform that accelerates your mind. Access a vast array of ...
Cognitive Class,https://cognitiveclass.ai/,"Propel your career forward with free courses in AI, Cloud Computing, Full-Stack Development, Cybersecurity, Data Science and more."
"Fireflies.ai | AI notetaker to transcribe, summarize, analyze meetings",https://fireflies.ai/,"Fireflies uses generative AI to bring ChatGPT to meetings. Generate transcripts and smart summaries for Zoom, Google Meet, Microsoft Teams, ..."
新規登録・ログイン | 比較検索なら 天秤AI byGMO,https://tenbin.ai/,GPT-4o、Claude 3.5、Gemini 1.5、Perplexityなど最新AIを、最大6個まで同時に実行！メール作成やSNS投稿など、複数の出力を比較・統合して自分にあったAIを見つけよう！
Humbot: AI Humanizer - Humanize AI - AI Detector Bypass,https://humbot.ai/,Humbot is a free AI humanizer that can help you convert AI to human text and bypass AI detection. Write with confidence and remove AI detection easily ...
CoWriter AI | Best AI Copilot for Smart Writing,https://cowriter.ai/,"Unlock superior writing efficiency with CoWriter Expert AI-driven assistance for smarter editing, flawless citing, and intelligent content creation tailored ..."
MinIO | S3 Compatible Storage for AI,http://min.ai/,"MinIO's High Performance Object Storage is Open Source, Amazon S3 compatible, Kubernetes Native and is designed for cloud native workloads like AI."
"Buy now, pay later with Tabby",https://tabby.ai/,Tabby lets you split your purchases into 4 monthly payments so you can worry less and aim for more. And you'll never pay interest or fees.
로판 AI: 캐릭터 AI 채팅,https://rofan.ai/,"AI 캐릭터와 함께하는 두근두근 로맨스 채팅. 내가 직접 만든 인공지능 AI 캐릭터와 은밀한 대화를 시작해보세요. 캐릭터 AI로 만나는 일상, 판타지 속 감성 로맨스, ..."
cornelsen.ai | Cornelsen,https://cornelsen.ai/,"Cornelsen-GPT ist Ihr digitaler Organisationsassistent. Speziell für Lehrkräfte entwickelt, erstellt er Checklisten, unterstützt bei der Elternkommunikation und ..."
Mockey: Best Free Mockup Generator with AI Mockup Templates,https://mockey.ai/,"Create free product mockups with premium and unique templates. Free AI mockup generator with 25+ mockup categories including t-shirt mockups, accessories, ..."
CrushOn.AI - No Filter NSFW Character AI Chat - AI GF,https://crushon.ai/,"Dive into NSFW Character AI chats without filters. Experience genuine, unrestricted NSFW AI interactions with AI characters - Your AI Girlfriend."
Шедеврум — с нейросетями Яндекса для создания картинок и ...,https://shedevrum.ai/,Нейросети Яндекса создадут картинку или текст по вашему описанию в приложении Шедеврум. Это совершенно бесплатно.
The Entrepreneurial University - TUM,https://tum.ai/,Technische Universität München: Eine der führenden deutschen Universitäten für Forschung und Lehre in Natur und Ingenieurwissenschaften.
Topaz Labs | Professional-grade photo and video editing powered ...,http://topaz.ai/,"Photo and video enhancement software powered by deep learning gets you the best image quality available for noise reduction, sharpening, upscaling, ..."
Remove watermark from images with AI watermark remover,https://dewatermark.ai/,Remove watermark from photos in a flash online with Dewatermark.AI. Watermark remover using AI Technology to clear logo from images completely free.
Claude,https://claude.ai/,"Claude is a next generation AI assistant built by Anthropic and trained to be safe, accurate, and secure to help you do your best work. · Create with Claude."
Moises App: The Musician's App | Vocal Remover & much more,https://moises.ai/,"The best app for practicing music. Remove vocals, separate instruments, master your tracks, and remix songs with the power of AI. Try it today!"
Gizmo | The easiest way to learn,https://gizmo.ai/,Gizmo (formerly called Save All) uses AI to help you remember everything you learn. Input in what you are learning and our AI turns it into AI flashcards ...
AI Voice Generator: Realistic Text to Speech & Voice Cloning,https://lovo.ai/,"Our award-winning voice generator and text to speech software is packed with 500+ voices in 100 languages. Create engaging videos with voice for marketing, ..."
Stockimg AI,https://stockimg.ai/,"Stockimg is an all in one design and content creation tool powered by AI. You can easily generate logo, illustration, wallpaper, poster and more."
